course_id,title,provider,course_length,effort,subject,price_origin,price,level,num_school,school_1,school_2,school_3,school_4,language,language_origin,url,name,bio,img,basic_info
13,2.- El C?lculo - Modelo Cuadr?tico,Coursera,4,5-6 horas/semana,Math and Logic,Purchase Course ¡¤ US$49 USD,49,null,1,Tecnol?gico de Monterrey,,,,Spanish,Spanish,https://www.coursera.org/learn/calculo-2,"Dra. Patricia Salinas Mart?nez, Profesora Titular",Campus Monterrey,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/4f/bbee90476a11e5a6aa3db81f1a94ce/Dra.-Patricia-Salinas.png?auto=format&dpr=1&w=88&h=88&fit=crop,null
14,20á¦?à¤Û°ëå? Western Music in the 20th Century,Coursera,8,null,Music and Art,Purchase Course ¡¤ US$29 USD,29,Beginner,1,Peking University,,,,Chinese (Simplified),Chinese (Simplified),https://www.coursera.org/learn/20cnwm,?Ù¥? Bryan Minghui BI,ÝÁÌÈÓÞ????êÂ,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/3d/97fe60156c11e49aaaeb4748fea2cc/bmh.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
15,3.- El C?lculo - Modelo C?bico,Coursera,4,5-6 horas/semana,Math and Logic,Purchase Course ¡¤ US$49 USD,49,null,1,Tecnol?gico de Monterrey,,,,Spanish,"Spanish, Subtitles: English",https://www.coursera.org/learn/calculo-3,"Dra. Patricia Salinas Mart?nez, Profesora Titular",Campus Monterrey,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/4f/bbee90476a11e5a6aa3db81f1a94ce/Dra.-Patricia-Salinas.png?auto=format&dpr=1&w=88&h=88&fit=crop,null
16,3D Printing Applications,Coursera,4,"4 weeks of study, 3-4 hours/week",Entrepreneurship,Purchase Course ¡¤ US$79 USD,79,Beginner,1,University of Illinois at Urbana-Champaign,,,,English,English,https://www.coursera.org/learn/3d-printing-applications,"Vishal Sachdev, Director, Illinois MakerLab",Business Administration,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c8/96cb606b8b11e5bd46e11bfd0f8c8c/vishal_picture.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 5 in the 3D Printing Specialization.
17,3D-¬á¬Ö¬é¬Ñ¬ä¬î ¬Õ¬Ý¬ñ ¬Ó¬ã¬Ö¬ç ¬Ú ¬Ü¬Ñ¬Ø¬Õ¬à¬Ô¬à,Coursera,6,"6 weeks of study, 1-2 hours/week",Design and Product,Purchase Course ¡¤ US$49 USD,49,null,1,National Research Tomsk State University,,,,Russian,Russian,https://www.coursera.org/learn/3d-printing,"¬¯¬Ú¬Ü¬à¬Ý¬Ñ¬Û ¬¤¬Ö¬à¬â¬Ô¬Ú¬Ö¬Ó¬Ú¬é ¬¢¬å¬Ý¬Ñ¬ç¬à¬Ó (Nikolay G. Bulakhov), ¬³¬ä¬Ñ¬â¬ê¬Ú¬Û ¬á¬â¬Ö¬á¬à¬Õ¬Ñ¬Ó¬Ñ¬ä¬Ö¬Ý¬î (Senior Lecturer)","¬¬¬Ñ¬æ¬Ö¬Õ¬â¬Ñ ¬Ü¬Ó¬Ñ¬ß¬ä¬à¬Ó¬à¬Û ¬ï¬Ý¬Ö¬Ü¬ä¬â¬à¬ß¬Ú¬Ü¬Ú ¬Ú ¬æ¬à¬ä¬à¬ß¬Ú¬Ü¬Ú ¬â¬Ñ¬Õ¬Ú¬à¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬à¬Ô¬à ¬æ¬Ñ¬Ü¬å¬Ý¬î¬ä¬Ö¬ä¬Ñ (Department of Quantum Electronics and Photonics, Faculty of Radiophysics)",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c2/7e3a40555d11e58fcd67442ac24c8a/_______2.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
18,4.- El C?lculo - Otros Modelos,Coursera,4,5-6 horas/semana,Math and Logic,Purchase Course ¡¤ US$49 USD,49,null,1,Tecnol?gico de Monterrey,,,,Spanish,Spanish,https://www.coursera.org/learn/calculo-4,"Dra. Patricia Salinas Mart?nez, Profesora Titular",Campus Monterrey,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/4f/bbee90476a11e5a6aa3db81f1a94ce/Dra.-Patricia-Salinas.png?auto=format&dpr=1&w=88&h=88&fit=crop,null
19,A Brief History of Human Spaceflight,Coursera,9,1-2 hours/week,History,Purchase Course ¡¤ US$49 USD,49,null,1,University of Houston System,,,,English,English,https://www.coursera.org/learn/human-spaceflight,"Dr. Chuck Layne, Professor and Department Chair",Health and Human Performance,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/66/f8a020bba711e49bf10f6585cc8007/Layne-teach.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
20,A Crash Course in Data Science,Coursera,1,"1 week of study, 4-6 hours",Data Analysis,Purchase Course ¡¤ US$49 USD,49,null,1,Johns Hopkins University,,,,English,English,https://www.coursera.org/learn/data-science-course,"Jeff Leek, Associate Professor, Biostatistics",Bloomberg School of Public Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/2c/3ea105f46d1fe369e934014608ac4d/jeff-1.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Executive Data Science Specialization.
20,A Crash Course in Data Science,Coursera,1,"1 week of study, 4-6 hours",Data Analysis,Purchase Course ¡¤ US$49 USD,49,null,1,Johns Hopkins University,,,,English,English,https://www.coursera.org/learn/data-science-course,"Brian Caffo, Professor, Biostatistics",Bloomberg School of Public Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/94/3fa57375db83096437cf7b4cff07c6/Brian-Caffo.jpeg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Executive Data Science Specialization.
20,A Crash Course in Data Science,Coursera,1,"1 week of study, 4-6 hours",Data Analysis,Purchase Course ¡¤ US$49 USD,49,null,1,Johns Hopkins University,,,,English,English,https://www.coursera.org/learn/data-science-course,"Roger D. Peng, PhD, Associate Professor, Biostatistics",Bloomberg School of Public Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f5/783878eec27e95d2fade6b62d9a62a/Peng_Roger.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Executive Data Science Specialization.
