course_id,course_title,img_url,instructor_name,instructor_bio,gender,age
edX-15,Statistical Thinking for Data Science and Analytics,https://www.edx.org/sites/default/files/person/image/ds101x-hannah-110x110.png,Lauren Hannah,Assistant Professor in the Department of Statistics at Columbia University,female,40.6
edX-15,Statistical Thinking for Data Science and Analytics,https://www.edx.org/sites/default/files/person/image/davidmadigan110x110.png,David Madigan,Executive Vice President and Dean of Faculty of Arts and Sciences at Columbia University,male,37.8
edX-15,Statistical Thinking for Data Science and Analytics,https://www.edx.org/sites/default/files/person/image/tianzheng110x110.png,Tian Zheng,Series Creator at Columbia University,female,25.2
edX-16,Programming with C#,https://www.edx.org/sites/default/files/person/image/gerry_obrien.jpg,Gerry O'Brien,Senior Content Development Manager at Microsoft,male,48.9
edX-17,Introduction to Linux,https://www.edx.org/sites/default/files/person/image/linux.jpg,Jerry Cooperstein PhD,null,male,57.8
edX-18,Inclusive Leadership Training: Becoming a Successful Leader,https://www.edx.org/sites/default/files/person/image/deepali-bagati_110x110.jpg,Deepali Bagati,"Vice President, Inclusive Leadership Initiative at Catalyst",female,33.9
edX-18,Inclusive Leadership Training: Becoming a Successful Leader,https://www.edx.org/sites/default/files/person/image/krista-brookman-_110x110.jpg,Krista Brookman,"Vice President, Inclusive Leadership Initiative at Catalyst",female,24.2
edX-18,Inclusive Leadership Training: Becoming a Successful Leader,https://www.edx.org/sites/default/files/person/image/emily-troiano_110x110.jpg,Emily V. Troiano,"Senior Director, Information Center at Catalyst",female,35.6
edX-19,Basic Mandarin Chinese ? Level 1,https://www.edx.org/sites/default/files/person/image/mx101z-chen-110x110.png,Estella Y. M. Chen,"Professor, College of Commerce at National Chengchi University",female,22.9
edX-20,Awareness-Based Systems Change with u.lab - How to Sense and Actualize the Future,https://www.edx.org/sites/default/files/person/image/otto-scharmer-15s23-110x110.jpg,Otto Scharmer,Senior Lecturer at MIT,male,46.4
edX-20,Awareness-Based Systems Change with u.lab - How to Sense and Actualize the Future,https://www.edx.org/sites/default/files/person/image/adam_copy.jpg,Adam Yukelson,Presencing Institute,male,39.1
