url,title,platform,institution,subject,language,keywords,totalReviewCount,totalReviewValue,time,timeReviewCount,timeReviewValue
https://www.class-central.com/mooc/2021/edx-crime101x-the-psychology-of-criminal-justice,The Psychology of Criminal Justice,edX,University of Queensland,Psychology,English,"justice,fictional,law,experiencing,criminal",7,5,34,1,5
https://www.class-central.com/mooc/2021/edx-crime101x-the-psychology-of-criminal-justice,The Psychology of Criminal Justice,edX,University of Queensland,Psychology,English,"justice,fictional,law,experiencing,criminal",7,5,35,3,15
https://www.class-central.com/mooc/2021/edx-crime101x-the-psychology-of-criminal-justice,The Psychology of Criminal Justice,edX,University of Queensland,Psychology,English,"justice,fictional,law,experiencing,criminal",7,5,38,1,5
https://www.class-central.com/mooc/2021/edx-crime101x-the-psychology-of-criminal-justice,The Psychology of Criminal Justice,edX,University of Queensland,Psychology,English,"justice,fictional,law,experiencing,criminal",7,5,39,1,5
https://www.class-central.com/mooc/2021/edx-crime101x-the-psychology-of-criminal-justice,The Psychology of Criminal Justice,edX,University of Queensland,Psychology,English,"justice,fictional,law,experiencing,criminal",7,5,40,1,5
https://www.class-central.com/mooc/2472/edx-water201x-urban-water-innovations-for-environmental-sustainability,Urban Water - Innovations for Environmental Sustainability,edX,The University of British Columbia,Environmental Science,English,"revitalized,north,urban,architects,americas",1,5,38,1,5
https://www.class-central.com/mooc/2366/edx-11-126x-introduction-to-game-design,Introduction to Game Design,edX,Massachusetts Institute of Technology,Digital Media & Video Games,English,"game,prototyping,designers,design,games",2,4,27,1,3
https://www.class-central.com/mooc/2366/edx-11-126x-introduction-to-game-design,Introduction to Game Design,edX,Massachusetts Institute of Technology,Digital Media & Video Games,English,"game,prototyping,designers,design,games",2,4,35,1,5
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,Innovation for Entrepreneurs: From Idea to Marketplace,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"innovation,commercialization,customer,innovations,validation",8,3.625,27,1,2
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,Innovation for Entrepreneurs: From Idea to Marketplace,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"innovation,commercialization,customer,innovations,validation",8,3.625,28,1,2
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,Innovation for Entrepreneurs: From Idea to Marketplace,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"innovation,commercialization,customer,innovations,validation",8,3.625,31,1,5
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,Innovation for Entrepreneurs: From Idea to Marketplace,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"innovation,commercialization,customer,innovations,validation",8,3.625,32,1,5
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,Innovation for Entrepreneurs: From Idea to Marketplace,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"innovation,commercialization,customer,innovations,validation",8,3.625,33,3,11
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,Innovation for Entrepreneurs: From Idea to Marketplace,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"innovation,commercialization,customer,innovations,validation",8,3.625,34,1,4
https://www.class-central.com/mooc/2487/coursera-advertising-and-society,Advertising and Society,Coursera,Duke University,Sociology,English,"advertising,ads,sexuality,sex,race",4,4.125,27,1,4.5
https://www.class-central.com/mooc/2487/coursera-advertising-and-society,Advertising and Society,Coursera,Duke University,Sociology,English,"advertising,ads,sexuality,sex,race",4,4.125,30,1,4
https://www.class-central.com/mooc/2487/coursera-advertising-and-society,Advertising and Society,Coursera,Duke University,Sociology,English,"advertising,ads,sexuality,sex,race",4,4.125,31,1,5
https://www.class-central.com/mooc/2487/coursera-advertising-and-society,Advertising and Society,Coursera,Duke University,Sociology,English,"advertising,ads,sexuality,sex,race",4,4.125,40,1,3
https://www.class-central.com/mooc/2064/coursera-advanced-engineering-systems-in-motion-dynamics-of-three-dimensional-3d-motion,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,Coursera,Georgia Institute of Technology,Mechanical Engineering,English,"motion,angular,bodies,eulerian,rotational",1,5,34,1,5
https://www.class-central.com/mooc/2685/edx-bio465-1x-neuronal-dynamics-computational-neuroscience-of-single-neurons,Neuronal Dynamics - Computational Neuroscience of Single Neurons,edX,?cole Polytechnique F?d?rale de Lausanne,Biology,English,"neurons,neuron,twodimensional,models,week",1,5,35,1,5
https://www.class-central.com/mooc/2113/coursera-get-organized-how-to-be-a-together-teacher,Get Organized: How to be a Together Teacher,Coursera,Relay Graduate School of Education,Teacher Development,English,"worksheet,session,teachers,todo,upcoming",3,4.3333335,31,1,3
https://www.class-central.com/mooc/2113/coursera-get-organized-how-to-be-a-together-teacher,Get Organized: How to be a Together Teacher,Coursera,Relay Graduate School of Education,Teacher Development,English,"worksheet,session,teachers,todo,upcoming",3,4.3333335,35,1,5
https://www.class-central.com/mooc/2113/coursera-get-organized-how-to-be-a-together-teacher,Get Organized: How to be a Together Teacher,Coursera,Relay Graduate School of Education,Teacher Development,English,"worksheet,session,teachers,todo,upcoming",3,4.3333335,40,1,5
https://www.class-central.com/mooc/1832/edx-astr105x-alien-worlds-the-science-of-exoplanet-discovery-and-characterization,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Boston University,Astronomy,English,"exoplanets,alien,stars,planets,exoplanet",1,5,36,1,5
https://www.class-central.com/mooc/2567/coursera-technology-commercialization-part-1-setting-up-your-idea-filtering-system,"Technology Commercialization, Part 1: Setting up your Idea Filtering System",Coursera,University of Rochester,Entrepreneurship,English,"creed,filter,customizing,commercialization,priorities",1,5,31,1,5
https://www.class-central.com/mooc/2699/coursera-international-business-ii,International Business II,Coursera,University of New Mexico,Business & Management,English,"abroad,global,business,expatriates,environment",1,2,31,1,2
https://www.class-central.com/mooc/2465/coursera-forensic-accounting-and-fraud-examination,Forensic Accounting and Fraud Examination,Coursera,West Virginia University,Finance,English,"fraudster,fraud,fraudsters,laundering,preditor",1,5,40,1,5
https://www.class-central.com/mooc/2508/edx-advphy2-1x-ap-physics-2-part-1-fluids-and-thermodynamics,AP Physics 2 - Part 1: Fluids and Thermodynamics,edX,Rice University,Test Prep,English,"college,physics,audit,placement,buoyant",1,5,26,1,5
https://www.class-central.com/mooc/2506/edx-advenvsci-1x-ap-environmental-science-part-1-the-living-world,AP Environmental Science - Part 1: The Living World,edX,Rice University,Test Prep,English,"environmental,college,audit,placement,biomes",1,3,27,1,3
https://www.class-central.com/mooc/1730/coursera-cryptography,Cryptography,Coursera,"University of Maryland, College Park",Theoretical Computer Science,English,"cryptography,encryption,week,privatekey,publickey",5,4.4,28,1,4
https://www.class-central.com/mooc/1730/coursera-cryptography,Cryptography,Coursera,"University of Maryland, College Park",Theoretical Computer Science,English,"cryptography,encryption,week,privatekey,publickey",5,4.4,31,1,5
https://www.class-central.com/mooc/1730/coursera-cryptography,Cryptography,Coursera,"University of Maryland, College Park",Theoretical Computer Science,English,"cryptography,encryption,week,privatekey,publickey",5,4.4,33,1,4
https://www.class-central.com/mooc/1730/coursera-cryptography,Cryptography,Coursera,"University of Maryland, College Park",Theoretical Computer Science,English,"cryptography,encryption,week,privatekey,publickey",5,4.4,34,1,4
https://www.class-central.com/mooc/1730/coursera-cryptography,Cryptography,Coursera,"University of Maryland, College Park",Theoretical Computer Science,English,"cryptography,encryption,week,privatekey,publickey",5,4.4,38,1,5
https://www.class-central.com/mooc/668/coursera-origins-formation-of-the-universe-solar-system-earth-and-life,"Origins - Formation of the Universe, Solar System, Earth and Life",Coursera,University of Copenhagen,Astronomy,English,"evolution,insects,life,origin,earth",3,4.6666665,33,1,5
https://www.class-central.com/mooc/668/coursera-origins-formation-of-the-universe-solar-system-earth-and-life,"Origins - Formation of the Universe, Solar System, Earth and Life",Coursera,University of Copenhagen,Astronomy,English,"evolution,insects,life,origin,earth",3,4.6666665,34,1,4
https://www.class-central.com/mooc/668/coursera-origins-formation-of-the-universe-solar-system-earth-and-life,"Origins - Formation of the Universe, Solar System, Earth and Life",Coursera,University of Copenhagen,Astronomy,English,"evolution,insects,life,origin,earth",3,4.6666665,40,1,5
https://www.class-central.com/mooc/2678/coursera-arts-and-culture-strategy,Arts and Culture Strategy,Coursera,University of Pennsylvania,Management & Leadership,English,"arts,customers,structures,attract,support",1,5,27,1,5
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,27,1,2.5
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,28,1,3
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,34,2,8
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,35,1,5
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,36,1,4
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,38,2,8
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,Process Mining: Data science in Action,Coursera,Eindhoven University of Technology,Data Science and Big Data,English,"mining,process,event,data,conformance",9,3.9444444,40,1,5
https://www.class-central.com/mooc/2469/edx-sw12-9x-china-part-9-china-and-communism,China (Part 9): China and Communism,edX,Harvard University,Language & Culture,English,"chinax,china,communism,parts,harassment",2,5,30,1,5
https://www.class-central.com/mooc/2469/edx-sw12-9x-china-part-9-china-and-communism,China (Part 9): China and Communism,edX,Harvard University,Language & Culture,English,"chinax,china,communism,parts,harassment",2,5,33,1,5
https://www.class-central.com/mooc/2840/coursera-economics-of-transition-and-emerging-markets,Economics of Transition and Emerging Markets,Coursera,Higher School of Economics,Economics,English,"videolectures,transition,emergingmarket,dear,reforms",2,4,29,1,5
https://www.class-central.com/mooc/2840/coursera-economics-of-transition-and-emerging-markets,Economics of Transition and Emerging Markets,Coursera,Higher School of Economics,Economics,English,"videolectures,transition,emergingmarket,dear,reforms",2,4,34,1,3
https://www.class-central.com/mooc/700/coursera-recovering-the-humankind-s-past-and-saving-the-universal-heritage,Recovering the Humankind's Past and Saving the Universal Heritage,Coursera,Sapienza University of Rome,Anthropology,English,"archaeology,heritage,past,cultural,archaeological",1,4,34,1,4
https://www.class-central.com/mooc/2148/edx-ri101x-responsible-innovation-ethics-safety-and-technology,"Responsible Innovation: Ethics, Safety and Technology",edX,Delft University of Technology,Entrepreneurship,English,"risks,ethical,innovations,responsible,selfdriving",1,4,36,1,4
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,New Venture Finance: Startup Funding for Entrepreneurs,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"investors,funding,venture,entrepreneurs,capital",8,4.75,28,1,4
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,New Venture Finance: Startup Funding for Entrepreneurs,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"investors,funding,venture,entrepreneurs,capital",8,4.75,30,1,5
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,New Venture Finance: Startup Funding for Entrepreneurs,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"investors,funding,venture,entrepreneurs,capital",8,4.75,31,1,5
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,New Venture Finance: Startup Funding for Entrepreneurs,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"investors,funding,venture,entrepreneurs,capital",8,4.75,32,1,5
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,New Venture Finance: Startup Funding for Entrepreneurs,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"investors,funding,venture,entrepreneurs,capital",8,4.75,33,3,14
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,New Venture Finance: Startup Funding for Entrepreneurs,Coursera,"University of Maryland, College Park",Entrepreneurship,English,"investors,funding,venture,entrepreneurs,capital",8,4.75,34,1,5
https://www.class-central.com/mooc/2919/coursera-preparing-for-the-ap-calculus-ab-and-bc-exams-part-2-integral-calculus,Preparing for the AP* Calculus AB and BC Exams (Part 2 - Integral Calculus),Coursera,University of Houston System,Test Prep,English,"assessments,calculus,quizzes,practice,week",2,2,27,1,3
https://www.class-central.com/mooc/2919/coursera-preparing-for-the-ap-calculus-ab-and-bc-exams-part-2-integral-calculus,Preparing for the AP* Calculus AB and BC Exams (Part 2 - Integral Calculus),Coursera,University of Houston System,Test Prep,English,"assessments,calculus,quizzes,practice,week",2,2,28,1,1
https://www.class-central.com/mooc/2849/edx-colwri3-1x-a-christmas-carol-by-dickens-berkeleyx-book-club,"""A Christmas Carol"" by Dickens: BerkeleyX Book Club",edX,"University of California, Berkeley",Literature,English,"christmas,book,bah,generosity,humbug",6,4.6666665,31,2,9
https://www.class-central.com/mooc/2849/edx-colwri3-1x-a-christmas-carol-by-dickens-berkeleyx-book-club,"""A Christmas Carol"" by Dickens: BerkeleyX Book Club",edX,"University of California, Berkeley",Literature,English,"christmas,book,bah,generosity,humbug",6,4.6666665,32,1,5
