course_url,title,course_platform,review_platform,time,reviewr_id,review_date,review_value
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/goldenfeldsima,2012-11-04,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/celinadavila,2012-11-04,5
19,Computer Science 101,Coursera,CourseTalk,9,/accounts/profile/mehreen,2012-11-05,5
45,"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,CourseTalk,9,/accounts/profile/mehreen,2012-11-05,5
45,"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,CourseTalk,9,/accounts/profile/melanie,2012-11-05,3
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/boyarsky,2012-11-05,4.5
136,Web Intelligence and Big Data,Coursera,CourseTalk,9,/accounts/profile/gavinconran,2012-11-05,4.5
16,"Algorithms: Design and Analysis, Part 1",Coursera,CourseTalk,9,/accounts/profile/romanvorushin,2012-11-06,5
21,Introduction to Logic,Coursera,CourseTalk,9,/accounts/profile/alexott,2012-11-06,2.5
12,Machine Learning,Coursera,CourseTalk,9,/accounts/profile/alexott,2012-11-06,5
15,Natural Language Processing,Coursera,CourseTalk,9,/accounts/profile/alexott,2012-11-06,5
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/chrissimmons,2012-11-07,5
12,Machine Learning,Coursera,CourseTalk,9,/accounts/profile/lukakacil,2012-11-07,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/alancoadya93d0d4cf54d45c0,2012-11-07,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/geethasrinivasan,2012-11-07,5
19,Computer Science 101,Coursera,CourseTalk,9,/accounts/profile/starm,2012-11-08,5
45,"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,CourseTalk,9,/accounts/profile/mattledding,2012-11-08,5
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/kshmatov,2012-11-08,5
12,Machine Learning,Coursera,CourseTalk,9,/accounts/profile/sergiomarchesini,2012-11-08,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/carriej,2012-11-08,5
29,Statistics One,Coursera,CourseTalk,9,/accounts/profile/jonahlyn,2012-11-08,4.5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/sharonweinstein,2012-11-09,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/sumitajetley,2012-11-09,5
75,Community Change in Public Health,Coursera,CourseTalk,9,/accounts/profile/katheepoohbeltran,2012-11-10,3.5
63,Learn to Program: The Fundamentals,Coursera,CourseTalk,9,/accounts/profile/tim,2012-11-10,4.5
12,Machine Learning,Coursera,CourseTalk,9,/accounts/profile/ethanberl,2012-11-10,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/asmaosmani1,2012-11-10,5
38,Vaccines,Coursera,CourseTalk,9,/accounts/profile/asmaosmani1,2012-11-10,3.5
136,Web Intelligence and Big Data,Coursera,CourseTalk,9,/accounts/profile/ethanberl,2012-11-10,5
150,Writing in the Sciences,Coursera,CourseTalk,9,/accounts/profile/amy,2012-11-10,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/joycehocoursera,2012-11-11,5
150,Writing in the Sciences,Coursera,CourseTalk,9,/accounts/profile/Colffield,2012-11-11,5
132,Health in Numbers: Quantitative Methods in Clinical -amp; Public Health Research,edX,CourseTalk,9,/accounts/profile/mcvv,2012-11-11,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/bastianabel,2012-11-12,5
150,Writing in the Sciences,Coursera,CourseTalk,9,/accounts/profile/kav,2012-11-12,5
150,Writing in the Sciences,Coursera,CourseTalk,9,/accounts/profile/lynsey7,2012-11-12,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/christinaboutopoulou,2012-11-13,5
136,Web Intelligence and Big Data,Coursera,CourseTalk,9,/accounts/profile/robertkomartin,2012-11-13,3.5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/laurelhulley,2012-11-14,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/janetkralovec,2012-11-14,5
76,Neural Networks for Machine Learning,Coursera,CourseTalk,9,/accounts/profile/benhaley,2012-11-14,4.5
136,Web Intelligence and Big Data,Coursera,CourseTalk,9,/accounts/profile/celestehorner,2012-11-14,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/chrismccarron,2012-11-15,5
136,Web Intelligence and Big Data,Coursera,CourseTalk,9,/accounts/profile/naseeramelethil,2012-11-15,5
19,Computer Science 101,Coursera,CourseTalk,9,/accounts/profile/simple,2012-11-17,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/elvawinter,2012-11-18,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/julieyoung,2012-11-18,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/rachelspurgeon,2012-11-19,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/katherineward,2012-11-19,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/Brisgirl,2012-11-19,5
110,Design: Creation of Artifacts in Society,Coursera,CourseTalk,9,/accounts/profile/abigailbailey,2012-11-20,5
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/dan,2012-11-20,4.5
63,Learn to Program: The Fundamentals,Coursera,CourseTalk,9,/accounts/profile/tzigi,2012-11-20,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/wspeer,2012-11-20,5
30,"Algorithms, Part I",Coursera,CourseTalk,9,/accounts/profile/dirkmeister,2012-11-21,4
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/dirkmeister,2012-11-21,5
30,"Algorithms, Part I",Coursera,CourseTalk,9,/accounts/profile/sai,2012-11-23,5
